BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
CLEANER,F,1506,650265.0,23.0,BUKIT BATOK,5644
PLANT AND MACHINE,M,1578,670185.0,23.0,BUKIT PANJANG,6834
SERVICE,M,1233,576836.0,20.0,BISHAN,4629
SERVICE,M,1245,598809.0,21.0,BUKIT TIMAH,4978
SECURITY,M,1558,289884.0,11.0,BUKIT TIMAH,7915
SERVICE,M,1318,731893.0,25.0,WOODLANDS,7983
CLEANER,M,990,568431.0,20.0,SERANGOON,7471
CLEANER,F,1150,238593.0,9.0,RIVER VALLEY,6434
PLANT AND MACHINE,F,1656,518770.0,18.0,PASIR RIS,6006
OTHER,M,1415,669743.0,23.0,BUKIT BATOK,1001
CLERICAL,F,1813,470124.0,16.0,BEDOK,7990
SERVICE,F,1579,689051.0,23.0,CHOA CHU KANG,5972
PLANT AND MACHINE,M,1697,534204.0,19.0,HOUGANG,7682
SERVICE,M,1043,239227.0,9.0,RIVER VALLEY,6725
SECURITY,M,2144,278739.0,10.0,BUKIT TIMAH,1828
OTHER,F,1326,792415.0,28.0,SENGKANG,5776
PLANT AND MACHINE,F,1098,425393.0,15.0,BEDOK,6658
CRAFTS,F,1218,791417.0,28.0,SENGKANG,6536
PLANT AND MACHINE,F,1401,310142.0,12.0,TOA PAYOH,1195
SECURITY,M,1882,439960.0,15.0,MARINE PARADE,4662
SERVICE,M,1177,805254.0,28.0,SERANGOON,7902
CLERICAL,F,1572,679646.0,23.0,BUKIT PANJANG,5303
PLANT AND MACHINE,F,1459,310142.0,12.0,TOA PAYOH,2866
CLEANER,F,1124,310254.0,12.0,TOA PAYOH,7845
PLANT AND MACHINE,M,1596,266809.0,10.0,BUKIT TIMAH,5915
PLANT AND MACHINE,M,1225,574936.0,20.0,ANG MO KIO,7087
CLERICAL,M,1573,556745.0,19.0,SERANGOON,4780
SERVICE,M,1258,530930.0,19.0,HOUGANG,6819
TECHNICIAN,F,1452,560422.0,20.0,ANG MO KIO,6366
TECHNICIAN,F,1692,689575.0,23.0,CHOA CHU KANG,4760
SERVICE,F,1198,127295.0,5.0,CLEMENTI,6141
SERVICE,F,1175,659247.0,23.0,BUKIT BATOK,4046
SERVICE,M,1544,425857.0,15.0,BEDOK,7100
PLANT AND MACHINE,M,1454,310017.0,12.0,TOA PAYOH,7602
SECURITY,F,1991,786318.0,26.0,ANG MO KIO,318
CLEANER,F,1104,680271.0,23.0,CHOA CHU KANG,4190
SERVICE,F,944,311139.0,12.0,TOA PAYOH,4154
SERVICE,F,1205,159953.0,3.0,QUEENSTOWN,4361
TECHNICIAN,F,1242,279256.0,10.0,BUKIT TIMAH,4982
CLERICAL,F,2023,521166.0,18.0,TAMPINES,4731
SERVICE,F,1256,259400.0,10.0,NEWTON,7065
CLEANER,M,1233,437878.0,15.0,MARINE PARADE,5424
SERVICE,M,1418,670170.0,23.0,BUKIT PANJANG,6224
SERVICE,M,986,649822.0,22.0,JURONG WEST,5524
PLANT AND MACHINE,M,1745,259955.0,10.0,NEWTON,7380
CLERICAL,F,1982,259955.0,10.0,NEWTON,7082
SECURITY,M,1245,730016.0,25.0,WOODLANDS,6425
PLANT AND MACHINE,M,1651,469597.0,16.0,BEDOK,5171
CLERICAL,F,1250,238363.0,9.0,RIVER VALLEY,4747
CLERICAL,F,1777,249183.0,10.0,TANGLIN,7553
SERVICE,M,1273,467112.0,16.0,BEDOK,5253
TECHNICIAN,F,893,439966.0,15.0,MARINE PARADE,4468
CLERICAL,F,2072,299938.0,11.0,NOVENA,4777
CLEANER,M,1715,669606.0,23.0,BUKIT BATOK,5707
CLERICAL,M,2203,297817.0,11.0,NOVENA,5650
PLANT AND MACHINE,F,1617,807019.0,28.0,SERANGOON,4478
PLANT AND MACHINE,F,1280,239426.0,9.0,SINGAPORE RIVER,6460
PLANT AND MACHINE,M,1896,98642.0,4.0,BUKIT MERAH,4993
SERVICE,F,1207,570307.0,20.0,BISHAN,6552
PLANT AND MACHINE,F,1330,579721.0,20.0,TOA PAYOH,5201
PLANT AND MACHINE,F,1641,543116.0,19.0,SENGKANG,4722
CRAFTS,F,1186,287597.0,11.0,BUKIT TIMAH,4930
SERVICE,M,1209,440066.0,15.0,MARINE PARADE,7071
PLANT AND MACHINE,M,1901,437880.0,15.0,MARINE PARADE,6545
SERVICE,F,1395,591001.0,21.0,BUKIT TIMAH,7936
SERVICE,F,1321,238361.0,9.0,RIVER VALLEY,4271
TECHNICIAN,M,1486,821668.0,19.0,PUNGGOL,5886
SERVICE,F,1438,310091.0,12.0,TOA PAYOH,4381
CLEANER,M,1446,768097.0,27.0,YISHUN,2118
SERVICE,M,1241,269266.0,10.0,BUKIT TIMAH,6079
PLANT AND MACHINE,F,1162,229920.0,9.0,NEWTON,1736
SERVICE,F,1084,556112.0,19.0,SERANGOON,5790
SERVICE,M,1202,544736.0,19.0,HOUGANG,7127
SECURITY,M,1731,270007.0,10.0,QUEENSTOWN,5426
CRAFTS,M,1291,286740.0,11.0,BUKIT TIMAH,1440
CLEANER,M,1216,297722.0,11.0,NOVENA,4082
SERVICE,M,1223,122312.0,5.0,CLEMENTI,7477
SERVICE,M,1236,297722.0,11.0,NOVENA,7938
PLANT AND MACHINE,F,1249,248358.0,10.0,TANGLIN,4689
SERVICE,M,1519,489642.0,16.0,TAMPINES,6018
CLERICAL,F,1842,118307.0,5.0,QUEENSTOWN,6791
TECHNICIAN,M,1010,641685.0,22.0,JURONG WEST,6554
SERVICE,F,1113,310060.0,12.0,TOA PAYOH,6695
SERVICE,F,1203,369235.0,13.0,GEYLANG,6115
SERVICE,F,1069,437436.0,15.0,KALLANG,6089
PLANT AND MACHINE,M,1153,436919.0,15.0,KALLANG,896
PLANT AND MACHINE,F,1759,679049.0,23.0,BUKIT PANJANG,7230
PLANT AND MACHINE,F,1031,228193.0,9.0,ROCHOR,6354
SERVICE,F,1390,81008.0,2.0,BUKIT MERAH,7507
CLERICAL,M,1834,229811.0,9.0,NEWTON,7873
CLEANER,F,1415,228369.0,9.0,ROCHOR,7224
CLEANER,F,1439,258709.0,10.0,TANGLIN,6701
CRAFTS,M,1273,540235.0,19.0,SENGKANG,6296
CRAFTS,M,1084,680225.0,23.0,CHOA CHU KANG,6679
SERVICE,M,1267,98205.0,4.0,SOUTHERN ISLANDS,3033
SERVICE,M,1243,98203.0,4.0,SOUTHERN ISLANDS,953
CLEANER,M,1493,276953.0,10.0,BUKIT TIMAH,6256
CLEANER,M,1312,229816.0,9.0,NEWTON,5999
PLANT AND MACHINE,F,1686,600302.0,22.0,JURONG EAST,6263
SECURITY,M,1574,479245.0,16.0,BEDOK,7029
CLERICAL,M,2393,130017.0,5.0,QUEENSTOWN,6580
PLANT AND MACHINE,F,2021,579819.0,20.0,BISHAN,5850
SERVICE,M,1193,109704.0,4.0,BUKIT MERAH,1185
SERVICE,F,1271,640826.0,22.0,JURONG WEST,7655
SERVICE,M,1250,141092.0,3.0,QUEENSTOWN,4286
SERVICE,F,1264,329215.0,12.0,NOVENA,2723
CLERICAL,M,2161,127449.0,5.0,CLEMENTI,4611
PLANT AND MACHINE,F,1542,437894.0,15.0,MARINE PARADE,4345
SERVICE,M,1466,257773.0,10.0,TANGLIN,5729
SERVICE,F,1014,578323.0,20.0,ANG MO KIO,6812
SECURITY,F,1818,545075.0,19.0,SENGKANG,2864
CLERICAL,F,1552,541306.0,19.0,SENGKANG,4979
SERVICE,F,1109,596744.0,21.0,BUKIT TIMAH,6984
CLERICAL,M,1552,437431.0,15.0,KALLANG,7847
SERVICE,F,1319,458968.0,15.0,BEDOK,6156
SERVICE,M,1207,555790.0,19.0,SERANGOON,5870
SERVICE,M,1219,458969.0,15.0,BEDOK,4377
CLERICAL,F,2127,730655.0,25.0,WOODLANDS,4963
SERVICE,M,1397,530853.0,19.0,HOUGANG,4706
SERVICE,M,1036,556133.0,19.0,SERANGOON,6970
CLEANER,F,1116,138685.0,5.0,QUEENSTOWN,4849
TECHNICIAN,F,1245,521899.0,18.0,TAMPINES,7560
CLERICAL,M,1684,670276.0,23.0,BUKIT PANJANG,1936
PLANT AND MACHINE,F,1401,298383.0,11.0,NOVENA,7346
CLEANER,F,1387,470629.0,16.0,BEDOK,7904
SERVICE,F,1394,276693.0,10.0,BUKIT TIMAH,5541
SECURITY,F,2172,424775.0,15.0,MARINE PARADE,3819
CLEANER,F,1487,98656.0,4.0,BUKIT MERAH,4323
PLANT AND MACHINE,F,1472,286701.0,11.0,BUKIT TIMAH,7243
SERVICE,F,1025,597594.0,21.0,BUKIT TIMAH,7253
CLERICAL,M,1850,440062.0,15.0,MARINE PARADE,5154
SERVICE,M,1233,423881.0,15.0,BEDOK,213
SERVICE,M,1186,98417.0,4.0,BUKIT MERAH,4874
SECURITY,M,1681,437986.0,15.0,MARINE PARADE,2167
CLEANER,M,1050,528800.0,18.0,TAMPINES,7179
SERVICE,F,1194,457404.0,15.0,BEDOK,7418
OTHER,F,1424,436919.0,15.0,KALLANG,4481
SERVICE,M,1328,259977.0,10.0,NEWTON,1561
CLERICAL,M,1938,258482.0,10.0,TANGLIN,7829
CLEANER,M,768,309519.0,11.0,NOVENA,7393
SERVICE,M,1240,437980.0,15.0,MARINE PARADE,6652
SERVICE,M,1431,787058.0,26.0,ANG MO KIO,6491
CLEANER,F,1374,439965.0,15.0,MARINE PARADE,6868
CRAFTS,F,1210,488894.0,16.0,TAMPINES,6986
PLANT AND MACHINE,M,1594,570179.0,20.0,BISHAN,4569
OTHER,F,1170,768862.0,27.0,YISHUN,5149
TECHNICIAN,M,952,750324.0,27.0,SEMBAWANG,2041
SERVICE,F,1212,151126.0,3.0,BUKIT MERAH,7698
PLANT AND MACHINE,M,1864,416942.0,14.0,BEDOK,5759
SERVICE,M,1362,545118.0,19.0,SENGKANG,5148
CLERICAL,F,2306,416834.0,14.0,BEDOK,4895
SERVICE,F,1286,670651.0,23.0,BUKIT PANJANG,4709
CLEANER,M,1519,266206.0,10.0,BUKIT TIMAH,4690
CLEANER,M,1173,248925.0,10.0,TANGLIN,7636
CLEANER,F,1400,677721.0,23.0,BUKIT PANJANG,150
CLEANER,F,1228,268721.0,10.0,BUKIT TIMAH,4091
SERVICE,M,1125,239896.0,9.0,RIVER VALLEY,4218
SECURITY,F,1581,425762.0,15.0,BEDOK,6168
SERVICE,M,1398,288457.0,11.0,BUKIT TIMAH,3471
SERVICE,M,1232,737789.0,25.0,WOODLANDS,1335
SECURITY,F,1800,310153.0,12.0,TOA PAYOH,6399
CLEANER,F,1033,670630.0,23.0,BUKIT PANJANG,5206
CLEANER,F,1247,436894.0,15.0,KALLANG,5448
SERVICE,F,1642,417777.0,14.0,BEDOK,4196
SERVICE,F,1073,424808.0,15.0,BEDOK,2549
CLERICAL,F,1676,277223.0,10.0,BUKIT TIMAH,6008
CLERICAL,M,1748,510158.0,18.0,PASIR RIS,4803
SERVICE,M,1495,400415.0,14.0,GEYLANG,4387
PLANT AND MACHINE,F,1286,659637.0,23.0,BUKIT BATOK,4987
CLERICAL,M,1633,99308.0,4.0,BUKIT MERAH,6010
SERVICE,F,1392,272009.0,10.0,QUEENSTOWN,7493
CLEANER,M,820,528801.0,18.0,TAMPINES,7280
SERVICE,M,1156,138678.0,5.0,QUEENSTOWN,983
PLANT AND MACHINE,M,1586,588177.0,21.0,BUKIT TIMAH,5216
SERVICE,M,1287,100052.0,4.0,BUKIT MERAH,1076
PLANT AND MACHINE,F,1328,753466.0,27.0,SEMBAWANG,7125
SECURITY,F,2124,558251.0,19.0,SERANGOON,5939
CLEANER,F,1142,429858.0,15.0,GEYLANG,5613
CLERICAL,M,2208,436929.0,15.0,KALLANG,4898
SERVICE,M,1209,320108.0,12.0,NOVENA,3244
CLEANER,M,1283,760809.0,27.0,YISHUN,7632
SERVICE,F,1594,455055.0,15.0,BEDOK,4077
CRAFTS,F,1048,570231.0,20.0,BISHAN,6589
SERVICE,F,1374,549514.0,19.0,HOUGANG,7462
CLEANER,M,1677,269972.0,10.0,BUKIT TIMAH,4809
CLEANER,M,1334,788651.0,26.0,ANG MO KIO,7635
SERVICE,M,1122,570402.0,20.0,BISHAN,5193
PLANT AND MACHINE,M,1355,548189.0,19.0,HOUGANG,3815
PLANT AND MACHINE,F,1323,528720.0,18.0,TAMPINES,5108
SERVICE,F,1208,591001.0,21.0,BUKIT TIMAH,3693
SERVICE,F,1082,307994.0,11.0,NOVENA,119
OTHER,M,1415,465427.0,16.0,BEDOK,6388
OTHER,F,1502,589644.0,21.0,BUKIT TIMAH,5122
SERVICE,F,1111,466331.0,16.0,BEDOK,6795
CLEANER,F,1297,436894.0,15.0,KALLANG,7486
OTHER,F,1487,440079.0,15.0,MARINE PARADE,6482
SERVICE,M,1108,560461.0,20.0,ANG MO KIO,7367
CLEANER,F,1282,509741.0,17.0,PASIR RIS,1041
PLANT AND MACHINE,F,893,458943.0,15.0,BEDOK,7692
SERVICE,M,1239,289294.0,11.0,BUKIT TIMAH,6483
CLEANER,M,891,588195.0,21.0,BUKIT BATOK,6665
SERVICE,F,1464,69415.0,1.0,OUTRAM,7436
CRAFTS,M,1190,510484.0,18.0,PASIR RIS,5086
CLEANER,F,1210,417397.0,14.0,BEDOK,5714
CLERICAL,M,1844,458539.0,15.0,BEDOK,5856
CLERICAL,F,1705,142091.0,3.0,QUEENSTOWN,4430
CLEANER,F,1356,764348.0,27.0,YISHUN,5369
SERVICE,M,1246,570190.0,20.0,BISHAN,6159
SECURITY,M,2202,678804.0,23.0,BUKIT PANJANG,7565
PLANT AND MACHINE,F,1600,570217.0,20.0,BISHAN,2284
PLANT AND MACHINE,F,1517,275917.0,10.0,BUKIT TIMAH,1564
SERVICE,F,1315,238307.0,9.0,RIVER VALLEY,5144
PLANT AND MACHINE,M,1806,570144.0,20.0,BISHAN,6444
TECHNICIAN,M,1640,309545.0,11.0,NOVENA,6247
SERVICE,F,1050,141060.0,3.0,QUEENSTOWN,4518
SERVICE,M,1455,530515.0,19.0,HOUGANG,4608
TECHNICIAN,M,1274,309246.0,11.0,NOVENA,7392
CLERICAL,F,1396,247993.0,10.0,TANGLIN,6058
PLANT AND MACHINE,M,1417,331039.0,12.0,KALLANG,7960
CLEANER,F,1423,570501.0,20.0,BISHAN,5887
SECURITY,F,1473,512525.0,18.0,PASIR RIS,6842
SERVICE,F,1437,99208.0,4.0,BUKIT MERAH,6564
SECURITY,M,1921,738093.0,25.0,WOODLANDS,7449
SERVICE,F,1266,458966.0,15.0,BEDOK,4140
CLERICAL,M,1866,449285.0,15.0,BEDOK,5575
SERVICE,M,1462,680277.0,23.0,CHOA CHU KANG,7580
SECURITY,F,1466,424577.0,15.0,GEYLANG,5450
CLEANER,F,1127,278740.0,10.0,BUKIT TIMAH,7452
PLANT AND MACHINE,M,1492,573975.0,20.0,BISHAN,7490
OTHER,M,1381,823273.0,19.0,PUNGGOL,7907
PLANT AND MACHINE,F,1373,823272.0,19.0,PUNGGOL,7463
PLANT AND MACHINE,F,1586,297987.0,11.0,NOVENA,5996
CLEANER,M,1351,127721.0,5.0,CLEMENTI,4092
SERVICE,M,1043,298808.0,11.0,NOVENA,6223
CLERICAL,M,2181,786674.0,26.0,ANG MO KIO,7806
SERVICE,M,1163,558832.0,19.0,SERANGOON,5504
SERVICE,F,1040,269262.0,10.0,BUKIT TIMAH,6930
CLEANER,F,1167,258357.0,10.0,TANGLIN,6203
SECURITY,F,1557,579979.0,20.0,BISHAN,7793
SERVICE,F,1334,436929.0,15.0,KALLANG,6268
TECHNICIAN,M,902,579979.0,20.0,BISHAN,1053
CLEANER,F,927,424212.0,15.0,BEDOK,5186
SERVICE,F,1329,670502.0,23.0,BUKIT PANJANG,5431
CLERICAL,F,1898,440002.0,15.0,MARINE PARADE,5023
CLERICAL,F,1643,278442.0,10.0,BUKIT TIMAH,3696
CLERICAL,F,2375,160135.0,3.0,BUKIT MERAH,6553
CLEANER,M,1160,550427.0,19.0,SERANGOON,5281
CLEANER,F,1026,229811.0,9.0,NEWTON,4079
TECHNICIAN,M,1441,570157.0,20.0,BISHAN,7920
SERVICE,M,1298,229813.0,9.0,NEWTON,2737
CLERICAL,M,1235,570162.0,20.0,BISHAN,5393
CLEANER,M,989,520119.0,18.0,TAMPINES,3527
SERVICE,M,1291,589174.0,21.0,BUKIT TIMAH,4771
CRAFTS,M,1298,207855.0,8.0,KALLANG,5863
SERVICE,F,1432,330009.0,12.0,KALLANG,7464
SERVICE,F,1362,276181.0,10.0,BUKIT TIMAH,5468
SERVICE,M,1047,510628.0,18.0,PASIR RIS,4416
PLANT AND MACHINE,M,1112,570260.0,20.0,BISHAN,7694
TECHNICIAN,M,1728,310100.0,12.0,TOA PAYOH,4768
SERVICE,F,1163,670626.0,23.0,BUKIT PANJANG,6272
PLANT AND MACHINE,M,2239,534202.0,19.0,HOUGANG,5746
SERVICE,M,1266,670630.0,23.0,BUKIT PANJANG,4986
OTHER,M,1052,118443.0,5.0,QUEENSTOWN,239
CRAFTS,F,1030,142093.0,3.0,QUEENSTOWN,7521
PLANT AND MACHINE,M,1923,417456.0,14.0,BEDOK,6700
SERVICE,F,1155,138686.0,5.0,QUEENSTOWN,4211
CRAFTS,M,1023,640609.0,22.0,JURONG WEST,6185
CLERICAL,F,1279,229719.0,9.0,NEWTON,7059
CLERICAL,M,2097,641659.0,22.0,JURONG WEST,7198
CLERICAL,M,1705,640420.0,22.0,JURONG WEST,4399
SERVICE,F,1288,459757.0,15.0,BEDOK,7237
CRAFTS,M,1084,436918.0,15.0,KALLANG,5623
SERVICE,F,1455,436887.0,15.0,KALLANG,5479
PLANT AND MACHINE,M,1143,560714.0,20.0,ANG MO KIO,4940
SECURITY,M,1776,680555.0,23.0,CHOA CHU KANG,7299
SERVICE,M,1487,298190.0,11.0,TOA PAYOH,7816
PLANT AND MACHINE,M,1545,269854.0,10.0,BUKIT TIMAH,7717
CLEANER,F,1248,259293.0,10.0,TANGLIN,5254
CLERICAL,M,2335,259291.0,10.0,TANGLIN,4616
SERVICE,M,1357,650389.0,23.0,BUKIT BATOK,6973
SERVICE,M,1142,437932.0,15.0,MARINE PARADE,7608
PLANT AND MACHINE,M,1673,238373.0,9.0,RIVER VALLEY,5820
SERVICE,M,1161,358032.0,13.0,SERANGOON,5311
PLANT AND MACHINE,M,1763,556133.0,19.0,SERANGOON,1626
CLERICAL,M,2027,100087.0,4.0,BUKIT MERAH,5203
PLANT AND MACHINE,M,1260,437277.0,15.0,MARINE PARADE,1213
CLEANER,F,1244,100087.0,4.0,BUKIT MERAH,4861
TECHNICIAN,F,1217,589629.0,21.0,BUKIT TIMAH,6898
SERVICE,F,1186,437433.0,15.0,KALLANG,7578
OTHER,F,1443,466606.0,16.0,BEDOK,7223
SERVICE,F,1350,539060.0,19.0,SERANGOON,7742
SERVICE,F,1283,120413.0,5.0,CLEMENTI,5751
SERVICE,M,1265,347468.0,13.0,TOA PAYOH,4118
SERVICE,F,1029,537422.0,19.0,HOUGANG,6398
SERVICE,F,1154,760298.0,27.0,YISHUN,7952
OTHER,F,1139,238113.0,9.0,RIVER VALLEY,5487
CLEANER,M,1337,467298.0,16.0,BEDOK,4579
CLERICAL,F,1592,257789.0,10.0,TANGLIN,1968
SERVICE,F,1068,549765.0,19.0,HOUGANG,7814
PLANT AND MACHINE,F,1227,120420.0,5.0,CLEMENTI,5234
CLEANER,F,1446,510428.0,18.0,PASIR RIS,7166
SECURITY,F,1828,358422.0,13.0,SERANGOON,4750
PLANT AND MACHINE,M,1092,519939.0,18.0,PASIR RIS,5578
SERVICE,F,1386,398089.0,14.0,GEYLANG,1207
SERVICE,M,1279,309979.0,11.0,NOVENA,4657
SERVICE,F,1135,438686.0,15.0,GEYLANG,5927
SECURITY,F,1829,530974.0,19.0,HOUGANG,4628
SERVICE,M,1091,466190.0,16.0,BEDOK,7168
SERVICE,F,1299,569788.0,20.0,ANG MO KIO,1395
PLANT AND MACHINE,F,1843,278637.0,10.0,BUKIT TIMAH,6509
SERVICE,M,1174,141023.0,3.0,QUEENSTOWN,7064
CLERICAL,M,1929,228223.0,9.0,NEWTON,4769
CLEANER,F,1332,530523.0,19.0,HOUGANG,4257
SECURITY,F,2148,822196.0,19.0,PUNGGOL,6985
SERVICE,F,1230,670625.0,23.0,BUKIT PANJANG,6325
OTHER,F,1171,730015.0,25.0,WOODLANDS,4914
SERVICE,F,1325,479236.0,16.0,BEDOK,7719
SERVICE,F,1224,428034.0,15.0,BEDOK,6463
TECHNICIAN,M,1254,470766.0,16.0,BEDOK,6934
SERVICE,M,934,569788.0,20.0,ANG MO KIO,5842
SERVICE,M,1380,210051.0,8.0,KALLANG,4207
CLEANER,M,1369,238258.0,9.0,SINGAPORE RIVER,4318
SERVICE,M,1136,322113.0,12.0,KALLANG,4395
CLEANER,M,1444,238257.0,9.0,SINGAPORE RIVER,7211
CLEANER,F,917,537316.0,19.0,HOUGANG,2147
OTHER,M,1544,509439.0,17.0,PASIR RIS,4359
CRAFTS,F,998,522520.0,18.0,TAMPINES,5536
SECURITY,F,1910,598737.0,21.0,BUKIT BATOK,5066
SERVICE,F,912,310027.0,12.0,TOA PAYOH,4073
PLANT AND MACHINE,M,1234,670453.0,23.0,BUKIT PANJANG,7640
SERVICE,F,919,249446.0,10.0,TANGLIN,4289
TECHNICIAN,F,974,540195.0,19.0,SENGKANG,6239
CLEANER,F,1573,158749.0,3.0,BUKIT MERAH,4063
CRAFTS,F,1243,486828.0,16.0,TAMPINES,6860
CRAFTS,M,1284,479240.0,16.0,BEDOK,5952
CLERICAL,F,1647,510242.0,18.0,PASIR RIS,4575
TECHNICIAN,M,1563,768860.0,27.0,YISHUN,4326
SECURITY,F,1549,259850.0,10.0,TANGLIN,7783
SECURITY,M,1815,425285.0,15.0,BEDOK,6936
SERVICE,M,1311,297726.0,11.0,TOA PAYOH,7570
CLEANER,F,1044,599300.0,21.0,BUKIT TIMAH,5583
CLEANER,F,1244,545635.0,19.0,HOUGANG,2269
CLEANER,M,1307,247912.0,10.0,ORCHARD,7484
SERVICE,M,1523,380044.0,14.0,GEYLANG,5802
SECURITY,F,1611,368060.0,13.0,TOA PAYOH,7786
SERVICE,F,1129,277318.0,10.0,BUKIT TIMAH,7302
TECHNICIAN,F,1490,579727.0,20.0,TOA PAYOH,5664
CLEANER,F,1489,239225.0,9.0,RIVER VALLEY,7099
TECHNICIAN,M,1257,786687.0,26.0,ANG MO KIO,5402
CLERICAL,M,1682,248360.0,10.0,TANGLIN,5511
SERVICE,F,1036,786311.0,26.0,ANG MO KIO,6273
TECHNICIAN,F,1566,760660.0,27.0,YISHUN,2765
SERVICE,F,1087,542297.0,19.0,SENGKANG,5104
SERVICE,M,1127,557323.0,19.0,SERANGOON,6893
CRAFTS,F,1149,461059.0,16.0,BEDOK,7898
SERVICE,M,1068,98204.0,4.0,SOUTHERN ISLANDS,2639
PLANT AND MACHINE,M,1604,460065.0,16.0,BEDOK,4261
SECURITY,M,1897,270028.0,10.0,QUEENSTOWN,7546
CLEANER,M,1615,249614.0,10.0,TANGLIN,4096
PLANT AND MACHINE,F,1813,768894.0,27.0,YISHUN,8062
PLANT AND MACHINE,F,1505,589627.0,21.0,BUKIT TIMAH,5028
CLERICAL,M,2282,249115.0,10.0,TANGLIN,2942
CLEANER,F,1325,248648.0,10.0,RIVER VALLEY,7891
SERVICE,F,1306,126793.0,5.0,CLEMENTI,2855
PLANT AND MACHINE,M,1280,550332.0,19.0,SERANGOON,4355
SERVICE,M,1331,93310.0,,,4954
OTHER,F,1072,320063.0,12.0,NOVENA,4865
TECHNICIAN,M,1110,158747.0,3.0,BUKIT MERAH,4525
PLANT AND MACHINE,M,1629,730770.0,25.0,WOODLANDS,7928
SECURITY,M,1864,757395.0,27.0,SEMBAWANG,5099
SERVICE,F,1330,730790.0,25.0,WOODLANDS,7005
CLERICAL,F,1852,554825.0,19.0,SERANGOON,2231
PLANT AND MACHINE,F,1158,737771.0,25.0,WOODLANDS,7595
CLERICAL,F,2284,590002.0,21.0,BUKIT TIMAH,7545
CLERICAL,F,1468,788376.0,26.0,YISHUN,5936
SERVICE,M,1128,730520.0,25.0,WOODLANDS,5934
SERVICE,M,1160,424615.0,15.0,GEYLANG,6316
TECHNICIAN,F,1662,507812.0,17.0,PASIR RIS,4840
SERVICE,M,1145,807070.0,28.0,SERANGOON,2831
CLERICAL,F,1408,436918.0,15.0,KALLANG,4488
SERVICE,M,1152,310200.0,12.0,TOA PAYOH,5351
SERVICE,M,1673,98627.0,4.0,SOUTHERN ISLANDS,4658
CRAFTS,M,1447,461030.0,16.0,BEDOK,5612
CLEANER,M,1179,762505.0,27.0,YISHUN,8022
SERVICE,M,1372,228191.0,9.0,ROCHOR,265
SERVICE,M,1423,439961.0,15.0,MARINE PARADE,5783
CLERICAL,M,1849,275794.0,10.0,BUKIT TIMAH,5605
SERVICE,F,1404,640816.0,22.0,JURONG WEST,4559
SERVICE,F,1219,730347.0,25.0,WOODLANDS,7150
SERVICE,M,1488,589648.0,21.0,BUKIT TIMAH,5981
CLERICAL,M,1575,487834.0,16.0,TAMPINES,6626
PLANT AND MACHINE,M,1621,449298.0,15.0,MARINE PARADE,7502
CLERICAL,F,1714,458921.0,15.0,BEDOK,6879
SERVICE,M,1389,519291.0,18.0,PASIR RIS,4973
CLEANER,M,1275,751354.0,27.0,SEMBAWANG,5350
SERVICE,M,1297,141060.0,3.0,QUEENSTOWN,4492
CLEANER,F,1220,98449.0,4.0,SOUTHERN ISLANDS,3329
SERVICE,F,1437,217912.0,8.0,KALLANG,7605
CLERICAL,F,1848,329976.0,12.0,NOVENA,4807
CLEANER,M,1302,439204.0,15.0,GEYLANG,7841
SERVICE,F,1020,518146.0,18.0,PASIR RIS,6737
SERVICE,F,1060,541338.0,19.0,SENGKANG,4274
SERVICE,M,1348,650383.0,23.0,BUKIT BATOK,5267
CLEANER,F,1100,640738.0,22.0,JURONG WEST,5413
OTHER,M,1465,574093.0,20.0,ANG MO KIO,5826
SERVICE,M,1625,806705.0,28.0,ANG MO KIO,4376
CLEANER,F,1149,538686.0,19.0,HOUGANG,7167
CRAFTS,F,1290,570272.0,20.0,BISHAN,7310
SECURITY,F,1480,520887.0,18.0,TAMPINES,4254
SERVICE,F,1314,534033.0,19.0,HOUGANG,6158
SERVICE,F,1231,465925.0,16.0,BEDOK,4347
SERVICE,M,1148,400033.0,14.0,GEYLANG,2051
CLEANER,F,1238,258709.0,10.0,TANGLIN,2948
SECURITY,M,1309,545119.0,19.0,SENGKANG,5388
TECHNICIAN,M,1334,522842.0,18.0,TAMPINES,7267
SERVICE,M,1244,789094.0,26.0,ANG MO KIO,4148
SERVICE,F,1271,163131.0,3.0,BUKIT MERAH,4
CLERICAL,F,2238,789099.0,26.0,ANG MO KIO,4164
SERVICE,M,1133,101111.0,4.0,BUKIT MERAH,7882
SERVICE,M,1332,381113.0,14.0,KALLANG,2451
PLANT AND MACHINE,M,1440,554484.0,19.0,SERANGOON,4460
CLERICAL,F,1654,545119.0,19.0,SENGKANG,1740
CLEANER,F,1387,545125.0,19.0,SENGKANG,5467
SERVICE,M,1075,768099.0,27.0,YISHUN,6569
SERVICE,F,1304,670183.0,23.0,BUKIT PANJANG,6816
CLEANER,M,1670,102112.0,4.0,BUKIT MERAH,5374
CLERICAL,F,1828,536470.0,19.0,SERANGOON,4637
CLEANER,M,1071,98865.0,4.0,BUKIT MERAH,5849
CLEANER,M,1253,465527.0,16.0,BEDOK,4819
SERVICE,F,1503,555372.0,19.0,SERANGOON,3407
SECURITY,F,1839,249565.0,10.0,TANGLIN,6302
CLERICAL,F,1485,440028.0,15.0,MARINE PARADE,7019
